"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"308",8.6,0.8,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,"1"
"309",8.3,0.78,0.1,2.6,0.081,87,0.9983,3.48,0.53,10,"1"
"310",10.8,0.26,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,"1"
"311",8,0.45,0.23,2.2,0.094,29,0.9962,3.21,0.49,10.2,"2"
"312",8.5,0.46,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,"1"
"313",8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"1"
"314",8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"1"
"315",9.2,0.92,0.24,2.6,0.087,93,0.9998,3.48,0.54,9.8,"1"
"316",7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"2"
"317",9.4,0.615,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,"1"
"318",11.8,0.38,0.55,2.1,0.071,19,0.9986,3.11,0.62,10.8,"2"
"319",7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"2"
"320",7,0.64,0.02,2.1,0.067,23,0.997,3.47,0.67,9.4,"2"
"321",7.5,0.38,0.48,2.6,0.073,84,0.9972,3.32,0.7,9.6,"0"
"322",9.1,0.765,0.04,1.6,0.078,14,0.998,3.29,0.54,9.7,"0"
"323",7,0.78,0.08,2,0.093,19,0.9956,3.4,0.47,10,"1"
"324",7.4,0.49,0.19,3,0.077,37,0.9966,3.37,0.51,10.5,"1"
"325",7.8,0.545,0.12,2.5,0.068,35,0.996,3.34,0.61,11.6,"2"
"326",8.9,0.565,0.34,3,0.093,112,0.9998,3.38,0.61,9.5,"1"
"327",9.9,0.74,0.28,2.6,0.078,77,0.998,3.28,0.51,9.8,"1"
"328",7.6,0.46,0.11,2.6,0.079,49,0.9968,3.21,0.57,10,"1"
"329",8.4,0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,"1"
"330",8.4,0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,"1"
"331",8.9,0.48,0.24,2.85,0.094,106,0.9982,3.1,0.53,9.2,"1"
"332",9,0.66,0.17,3,0.077,13,0.9976,3.29,0.55,10.4,"1"
"333",8.1,0.72,0.09,2.8,0.084,49,0.9994,3.43,0.72,11.1,"2"
"334",6.4,0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,"1"
"335",6.4,0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,"1"
"336",6.4,0.865,0.03,3.2,0.071,58,0.995,3.61,0.49,12.7,"2"
"337",8.9,0.875,0.13,3.45,0.088,14,0.9994,3.44,0.52,11.5,"1"
"338",7.3,0.835,0.03,2.1,0.092,19,0.9966,3.39,0.47,9.6,"1"
"339",7,0.45,0.34,2.7,0.082,72,0.998,3.55,0.6,9.5,"1"
"340",7.7,0.56,0.2,2,0.075,39,0.9987,3.48,0.62,9.3,"1"
"341",7.7,0.965,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,"1"
"342",8.2,0.59,0,2.5,0.093,58,1.0002,3.5,0.65,9.3,"2"
"343",9,0.69,0,2.4,0.088,38,0.999,3.35,0.6,9.3,"1"
"344",11.1,0.39,0.54,2.7,0.095,101,1.0001,3.13,0.51,9.5,"1"
"345",7.3,0.51,0.18,2.1,0.07,28,0.99768,3.52,0.73,9.5,"2"
"346",8.2,0.34,0.38,2.5,0.08,57,0.9978,3.3,0.47,9,"2"
"347",7.2,0.5,0.18,2.1,0.071,31,0.99761,3.52,0.72,9.6,"2"
"348",7.3,0.51,0.18,2.1,0.07,28,0.99768,3.52,0.73,9.5,"2"
"349",8.3,0.65,0.1,2.9,0.089,40,0.99803,3.29,0.55,9.5,"1"
"350",7.6,0.54,0.13,2.5,0.097,66,0.99785,3.39,0.61,9.4,"1"
"351",8.3,0.65,0.1,2.9,0.089,40,0.99803,3.29,0.55,9.5,"1"
"352",7.8,0.91,0.07,1.9,0.058,47,0.99525,3.51,0.43,10.7,"2"
"353",6.3,0.98,0.01,2,0.057,33,0.99488,3.6,0.46,11.2,"2"
"354",8.1,0.87,0,2.2,0.084,31,0.99656,3.25,0.5,9.8,"1"
"355",8.1,0.87,0,2.2,0.084,31,0.99656,3.25,0.5,9.8,"1"
"356",8.8,0.42,0.21,2.5,0.092,88,0.99823,3.19,0.52,9.2,"1"
"357",9,0.58,0.25,2.8,0.075,104,0.99779,3.23,0.57,9.7,"1"
"358",9.3,0.655,0.26,2,0.096,35,0.99738,3.25,0.42,9.6,"1"
"359",8.8,0.7,0,1.7,0.069,19,0.99701,3.31,0.53,10,"2"
"360",9.1,0.68,0.11,2.8,0.093,44,0.99888,3.31,0.55,9.5,"2"
"361",9.2,0.67,0.1,3,0.091,48,0.99888,3.31,0.54,9.5,"2"
"362",8.8,0.59,0.18,2.9,0.089,74,0.99738,3.14,0.54,9.4,"1"
"363",7.1,0.59,0.02,2.3,0.082,94,0.99744,3.55,0.53,9.7,"2"
"364",7.9,0.72,0.01,1.9,0.076,32,0.99668,3.39,0.54,9.6,"1"
"365",7.1,0.59,0.02,2.3,0.082,94,0.99744,3.55,0.53,9.7,"2"
"366",7.2,1,0,3,0.102,16,0.99586,3.43,0.46,10,"1"
"367",8.3,0.43,0.3,3.4,0.079,34,0.99788,3.36,0.61,10.5,"1"
"368",7.1,0.52,0.03,2.6,0.076,92,0.99745,3.5,0.6,9.8,"1"
"369",6.5,0.46,0.14,2.4,0.114,37,0.99732,3.66,0.65,9.8,"1"
"370",7.1,0.59,0.01,2.5,0.077,85,0.99746,3.55,0.59,9.8,"1"
"371",9.9,0.35,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,"1"
"372",10,0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,"2"
"373",10,0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,"2"
"374",7.4,0.37,0.43,2.6,0.082,82,0.99708,3.33,0.68,9.7,"2"
"375",7.1,0.61,0.02,2.5,0.081,87,0.99745,3.48,0.6,9.7,"2"
"376",7.7,0.6,0,2.6,0.055,13,0.99639,3.38,0.56,10.8,"1"
"377",10.1,0.27,0.54,2.3,0.065,26,0.99531,3.17,0.53,12.5,"2"
"378",9.4,0.5,0.34,3.6,0.082,14,0.9987,3.29,0.52,10.7,"2"
"379",8.6,0.55,0.09,3.3,0.068,17,0.99735,3.23,0.44,10,"1"
"380",7.7,0.56,0.08,2.5,0.114,46,0.9971,3.24,0.66,9.6,"2"
"381",8.4,0.52,0.22,2.7,0.084,18,0.99682,3.26,0.57,9.9,"2"
"382",7.6,0.48,0.31,2.8,0.07,15,0.99693,3.22,0.55,10.3,"2"
"383",7.3,0.49,0.1,2.6,0.068,14,0.99562,3.3,0.47,10.5,"1"
"384",6.9,0.39,0.24,2.1,0.102,7,0.99462,3.44,0.58,11.4,"0"
"385",9.1,0.66,0.15,3.2,0.097,59,0.99976,3.28,0.54,9.6,"1"
"386",7,0.685,0,1.9,0.099,22,0.99606,3.34,0.6,9.7,"1"
"387",6.7,0.54,0.13,2,0.076,36,0.9973,3.61,0.64,9.8,"1"
"388",7.1,0.48,0.28,2.8,0.068,16,0.99682,3.24,0.53,10.3,"1"
"389",7.5,0.27,0.34,2.3,0.05,8,0.9951,3.4,0.64,11,"2"
"390",7.1,0.46,0.14,2.8,0.076,37,0.99624,3.36,0.49,10.7,"1"
"391",7.5,0.685,0.07,2.5,0.058,9,0.99632,3.38,0.55,10.9,"0"
"392",5.9,0.61,0.08,2.1,0.071,24,0.99376,3.56,0.77,11.1,"2"
"393",10.1,0.31,0.35,1.6,0.075,28,0.99672,3.24,0.83,11.2,"2"
"394",6.6,0.66,0,3,0.115,31,0.99629,3.45,0.63,10.3,"1"
"395",7.1,0.685,0.35,2,0.088,92,0.9963,3.28,0.62,9.4,"1"
"396",6.4,0.64,0.21,1.8,0.081,31,0.99689,3.59,0.66,9.8,"1"
"397",7.4,0.68,0.16,1.8,0.078,39,0.9977,3.5,0.7,9.9,"2"
"398",6.4,0.64,0.21,1.8,0.081,31,0.99689,3.59,0.66,9.8,"1"
"399",9.3,0.43,0.44,1.9,0.085,22,0.99708,3.28,0.55,9.5,"1"
"400",9.3,0.43,0.44,1.9,0.085,22,0.99708,3.28,0.55,9.5,"1"
"401",9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,"2"
"402",9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,"2"
"403",9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,"2"
"404",8.2,0.26,0.34,2.5,0.073,47,0.99594,3.4,0.78,11.3,"2"
"405",11.7,0.28,0.47,1.7,0.054,32,0.99686,3.15,0.67,10.6,"2"
"406",7.2,0.62,0.06,2.7,0.077,85,0.99746,3.51,0.54,9.5,"1"
"407",7.5,0.42,0.32,2.7,0.067,25,0.99628,3.24,0.44,10.4,"1"
"408",7.2,0.62,0.06,2.5,0.078,84,0.99746,3.51,0.53,9.7,"1"
"409",7.2,0.635,0.07,2.6,0.077,86,0.99748,3.51,0.54,9.7,"1"
"410",6.9,0.56,0.03,1.5,0.086,46,0.99522,3.53,0.57,10.6,"1"
"411",7.3,0.35,0.24,2,0.067,48,0.99576,3.43,0.54,10,"0"
"412",8.8,0.31,0.4,2.8,0.109,16,0.99614,3.31,0.79,11.8,"2"
"413",7.7,0.715,0.01,2.1,0.064,43,0.99371,3.41,0.57,11.8,"2"
"414",7.6,0.715,0,2.1,0.068,35,0.99533,3.48,0.65,11.4,"2"
"415",8.9,0.75,0.14,2.5,0.086,30,0.99824,3.34,0.64,10.5,"1"
"416",9,0.8,0.12,2.4,0.083,28,0.99836,3.33,0.65,10.4,"2"
"417",6.8,0.57,0,2.5,0.072,64,0.99491,3.43,0.56,11.2,"2"
"418",7.2,0.66,0.03,2.3,0.078,86,0.99743,3.53,0.57,9.7,"1"
"419",10.1,0.45,0.23,1.9,0.082,18,0.99774,3.22,0.65,9.3,"2"
"420",7.2,0.66,0.03,2.3,0.078,86,0.99743,3.53,0.57,9.7,"1"
"421",7.2,0.63,0.03,2.2,0.08,88,0.99745,3.53,0.58,9.8,"2"
"422",7.1,0.59,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,"2"
"423",8.3,0.31,0.39,2.4,0.078,43,0.99444,3.31,0.77,12.5,"2"
"424",7.1,0.59,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,"2"
"425",8.3,0.31,0.39,2.4,0.078,43,0.99444,3.31,0.77,12.5,"2"
"426",8.9,0.31,0.36,2.6,0.056,39,0.99562,3.4,0.69,11.8,"1"
"427",7.4,0.635,0.1,2.4,0.08,33,0.99736,3.58,0.69,10.8,"2"
"428",7.4,0.635,0.1,2.4,0.08,33,0.99736,3.58,0.69,10.8,"2"
"429",7.2,0.54,0.27,2.6,0.084,78,0.9964,3.39,0.71,11,"1"
"430",6.1,0.56,0,2.2,0.079,9,0.9948,3.59,0.54,11.5,"2"
"431",7.4,0.52,0.13,2.4,0.078,61,0.99528,3.43,0.59,10.8,"2"
"432",10,0.46,0.44,2.9,0.065,8,0.99674,3.33,0.62,12.2,"2"
"433",8.6,0.315,0.4,2.2,0.079,6,0.99512,3.27,0.67,11.9,"2"
"434",8.4,0.36,0.32,2.2,0.081,79,0.9964,3.3,0.72,11,"2"
"435",8.4,0.62,0.12,1.8,0.072,46,0.99504,3.38,0.89,11.8,"2"
"436",9.6,0.41,0.37,2.3,0.091,23,0.99786,3.24,0.56,10.5,"1"
"437",8.4,0.62,0.12,1.8,0.072,46,0.99504,3.38,0.89,11.8,"2"
"438",8.6,0.47,0.27,2.3,0.055,28,0.99516,3.18,0.8,11.2,"1"
"439",8.6,0.22,0.36,1.9,0.064,77,0.99604,3.47,0.87,11,"2"
"440",9.4,0.24,0.33,2.3,0.061,73,0.99786,3.47,0.9,10.2,"2"
"441",8.4,0.67,0.19,2.2,0.093,75,0.99736,3.2,0.59,9.2,"0"
"442",8.6,0.47,0.27,2.3,0.055,28,0.99516,3.18,0.8,11.2,"1"
"443",8.7,0.33,0.38,3.3,0.063,19,0.99468,3.3,0.73,12,"2"
"444",7.4,0.61,0.01,2,0.074,38,0.99748,3.48,0.65,9.8,"1"
"445",7.6,0.4,0.29,1.9,0.078,66,0.9971,3.45,0.59,9.5,"2"
"446",8.8,0.3,0.38,2.3,0.06,72,0.99543,3.39,0.72,11.8,"2"
"447",6.2,0.46,0.17,1.6,0.073,11,0.99425,3.61,0.54,11.4,"1"
"448",10.1,0.43,0.4,2.6,0.092,52,0.99834,3.22,0.64,10,"2"
"449",8.3,0.28,0.48,2.1,0.093,12,0.99408,3.26,0.62,12.4,"2"
"450",8.9,0.12,0.45,1.8,0.075,21,0.99552,3.41,0.76,11.9,"2"
"451",8.9,0.12,0.45,1.8,0.075,21,0.99552,3.41,0.76,11.9,"2"
"452",8.3,0.28,0.48,2.1,0.093,12,0.99408,3.26,0.62,12.4,"2"
"453",8.2,0.31,0.4,2.2,0.058,10,0.99536,3.31,0.68,11.2,"2"
"454",10.2,0.34,0.48,2.1,0.052,9,0.99458,3.2,0.69,12.1,"2"
"455",8.5,0.21,0.52,1.9,0.09,23,0.99648,3.36,0.67,10.4,"1"
"456",9,0.36,0.52,2.1,0.111,10,0.99568,3.31,0.62,11.3,"2"
"457",8.5,0.47,0.27,1.9,0.058,38,0.99518,3.16,0.85,11.1,"2"
"458",7.1,0.56,0.14,1.6,0.078,18,0.99592,3.27,0.62,9.3,"1"
"459",6.6,0.57,0.02,2.1,0.115,16,0.99654,3.38,0.69,9.5,"1"
"460",8.5,0.47,0.27,1.9,0.058,38,0.99518,3.16,0.85,11.1,"2"
"461",8.5,0.66,0.2,2.1,0.097,113,0.99733,3.13,0.48,9.2,"1"
"462",9,0.4,0.43,2.4,0.068,46,0.9943,3.2,0.6,12.2,"2"
"463",10.4,0.26,0.48,1.9,0.066,10,0.99724,3.33,0.87,10.9,"2"
"464",7.2,0.41,0.3,2.1,0.083,72,0.997,3.44,0.52,9.4,"1"
"465",7,0.4,0.32,3.6,0.061,29,0.99416,3.28,0.49,11.3,"2"
"466",9.1,0.5,0.3,1.9,0.065,17,0.99774,3.32,0.71,10.5,"2"
"467",9.5,0.86,0.26,1.9,0.079,28,0.99712,3.25,0.62,10,"1"
"468",7.3,0.52,0.32,2.1,0.07,70,0.99418,3.34,0.82,12.9,"2"
"469",9.1,0.5,0.3,1.9,0.065,17,0.99774,3.32,0.71,10.5,"2"
"470",7.4,0.58,0,2,0.064,11,0.99562,3.45,0.58,11.3,"2"
"471",7.1,0.36,0.3,1.6,0.08,70,0.99693,3.44,0.5,9.4,"1"
"472",7.7,0.39,0.12,1.7,0.097,27,0.99596,3.16,0.49,9.4,"1"
"473",9.7,0.295,0.4,1.5,0.073,21,0.99556,3.14,0.51,10.9,"2"
"474",7.7,0.39,0.12,1.7,0.097,27,0.99596,3.16,0.49,9.4,"1"
"475",7.1,0.34,0.28,2,0.082,68,0.99694,3.45,0.48,9.4,"1"
"476",7.1,0.34,0.28,2,0.082,68,0.99694,3.45,0.48,9.4,"1"
"477",7.7,0.6,0.06,2,0.079,41,0.99697,3.39,0.62,10.1,"2"
"478",8.9,0.84,0.34,1.4,0.05,10,0.99554,3.12,0.48,9.1,"2"
"479",7.5,0.43,0.3,2.2,0.062,12,0.99495,3.44,0.72,11.5,"2"
"480",8.2,0.43,0.29,1.6,0.081,45,0.99603,3.25,0.54,10.3,"1"
"481",6.8,0.36,0.32,1.8,0.067,8,0.9928,3.36,0.55,12.8,"2"
"482",9.1,0.29,0.33,2.05,0.063,27,0.99516,3.26,0.84,11.7,"2"
"483",9.1,0.3,0.34,2,0.064,25,0.99516,3.26,0.84,11.7,"2"
"484",8.9,0.35,0.4,3.6,0.11,24,0.99549,3.23,0.7,12,"2"
"485",8.9,0.28,0.45,1.7,0.067,12,0.99354,3.25,0.55,12.3,"2"
"486",8.9,0.32,0.31,2,0.088,19,0.9957,3.17,0.55,10.4,"2"
"487",7.7,1.005,0.15,2.1,0.102,32,0.99604,3.23,0.48,10,"1"
"488",7.5,0.71,0,1.6,0.092,31,0.99635,3.38,0.58,10,"2"
"489",8.9,0.38,0.4,2.2,0.068,28,0.99486,3.27,0.75,12.6,"2"
"490",7,0.5,0.14,1.8,0.078,23,0.99636,3.53,0.61,10.4,"1"
"491",7,0.51,0.09,2.1,0.062,9,0.99584,3.35,0.54,10.5,"1"
"492",8.2,0.32,0.42,2.3,0.098,9,0.99506,3.27,0.55,12.3,"2"
"493",7.7,0.58,0.01,1.8,0.088,18,0.99568,3.32,0.56,10.5,"2"
"494",8.6,0.83,0,2.8,0.095,43,0.99822,3.33,0.6,10.4,"2"
"495",7.9,0.31,0.32,1.9,0.066,36,0.99364,3.41,0.56,12.6,"2"
"496",6.4,0.795,0,2.2,0.065,52,0.99378,3.49,0.52,11.6,"1"
"497",7.7,0.58,0.01,1.8,0.088,18,0.99568,3.32,0.56,10.5,"2"
"498",8.9,0.745,0.18,2.5,0.077,48,0.99739,3.2,0.47,9.7,"2"
"499",10.1,0.37,0.34,2.4,0.085,17,0.99683,3.17,0.65,10.6,"2"
"500",7.6,0.31,0.34,2.5,0.082,35,0.99356,3.22,0.59,12.5,"2"
"501",8.9,0.5,0.21,2.2,0.088,39,0.99692,3.33,0.83,11.1,"2"
"502",6.9,0.49,0.19,1.7,0.079,26,0.99547,3.38,0.64,9.8,"2"
"503",6.4,0.39,0.33,3.3,0.046,53,0.99294,3.36,0.62,12.2,"2"
"504",6.9,0.44,0,1.4,0.07,38,0.99438,3.32,0.58,11.4,"2"
"505",7.6,0.78,0,1.7,0.076,45,0.99612,3.31,0.62,10.7,"2"
"506",7.1,0.43,0.17,1.8,0.082,51,0.99634,3.49,0.64,10.4,"1"
"507",9.3,0.49,0.36,1.7,0.081,14,0.99702,3.27,0.78,10.9,"2"
"508",9.3,0.5,0.36,1.8,0.084,17,0.99704,3.27,0.77,10.8,"2"
"509",5.6,0.605,0.05,2.4,0.073,25,0.99258,3.56,0.55,12.9,"1"
"510",8.3,0.33,0.42,2.3,0.07,20,0.99426,3.38,0.77,12.7,"2"
"511",8.2,0.64,0.27,2,0.095,77,0.99747,3.13,0.62,9.1,"2"
"512",9.9,0.53,0.57,2.4,0.093,52,0.9971,3.19,0.76,11.6,"2"
"513",11.6,0.23,0.57,1.8,0.074,8,0.9981,3.14,0.7,9.9,"2"
"514",8,0.38,0.44,1.9,0.098,15,0.9956,3.3,0.64,11.4,"2"
"515",10.2,0.29,0.65,2.4,0.075,17,0.99565,3.22,0.63,11.8,"2"
"516",8.2,0.74,0.09,2,0.067,10,0.99418,3.28,0.57,11.8,"2"
"517",7.7,0.61,0.18,2.4,0.083,20,0.9963,3.29,0.6,10.2,"2"
"518",6.6,0.52,0.08,2.4,0.07,26,0.99358,3.4,0.72,12.5,"2"
"519",11.1,0.31,0.53,2.2,0.06,10,0.99572,3.02,0.83,10.9,"2"
"520",8,0.62,0.35,2.8,0.086,52,0.997,3.31,0.62,10.8,"1"
"521",9.3,0.33,0.45,1.5,0.057,37,0.99498,3.18,0.89,11.1,"2"
"522",8,0.62,0.33,2.7,0.088,37,0.9972,3.31,0.58,10.7,"2"
"523",9.9,0.32,0.56,2,0.073,8,0.99534,3.15,0.73,11.4,"2"
"524",7.2,0.38,0.3,1.8,0.073,70,0.99685,3.42,0.59,9.5,"2"
"525",8.7,0.42,0.45,2.4,0.072,59,0.99617,3.33,0.77,12,"2"
"526",6.8,0.48,0.08,1.8,0.074,64,0.99529,3.12,0.49,9.6,"1"
"527",7.9,0.19,0.42,1.6,0.057,30,0.994,3.29,0.69,11.2,"2"
"528",11.6,0.41,0.54,1.5,0.095,41,0.99735,3.02,0.76,9.9,"2"
"529",11.6,0.41,0.54,1.5,0.095,41,0.99735,3.02,0.76,9.9,"2"
"530",7.9,0.34,0.42,2,0.086,19,0.99546,3.35,0.6,11.4,"2"
"531",7,0.54,0.09,2,0.081,16,0.99479,3.43,0.59,11.5,"2"
"532",9.2,0.31,0.36,2.2,0.079,31,0.99615,3.33,0.86,12,"2"
"533",8.6,0.52,0.38,1.5,0.096,18,0.99666,3.2,0.52,9.4,"1"
"534",8.4,0.34,0.42,2.1,0.072,36,0.99392,3.11,0.78,12.4,"2"
"535",7.4,0.49,0.27,2.1,0.071,25,0.99388,3.35,0.63,12,"2"
"536",7.4,0.49,0.27,2.1,0.071,25,0.99388,3.35,0.63,12,"2"
"537",8,0.48,0.34,2.2,0.073,25,0.9936,3.28,0.66,12.4,"2"
"538",6.3,0.57,0.28,2.1,0.048,49,0.99374,3.41,0.6,12.8,"1"
"539",9.1,0.3,0.41,2,0.068,24,0.99523,3.27,0.85,11.7,"2"
"540",8.1,0.78,0.1,3.3,0.09,13,0.99855,3.36,0.49,9.5,"1"
"541",8.3,0.53,0,1.4,0.07,14,0.99593,3.25,0.64,10,"2"
"542",7.9,0.33,0.41,1.5,0.056,35,0.99396,3.29,0.71,11,"2"
"543",7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,"2"
"544",7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,"2"
"545",7,0.69,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,"2"
"546",5.6,0.66,0,2.5,0.066,15,0.99256,3.52,0.58,12.9,"1"
"547",8.8,0.24,0.35,1.7,0.055,27,0.99394,3.14,0.59,11.3,"2"
"548",6.3,0.76,0,2.9,0.072,52,0.99379,3.51,0.6,11.5,"2"
"549",10,0.43,0.33,2.7,0.095,89,0.9984,3.22,0.68,10,"1"
"550",9.1,0.6,0,1.9,0.058,10,0.9977,3.18,0.63,10.4,"2"
"551",8.5,0.28,0.35,1.7,0.061,15,0.99524,3.3,0.74,11.8,"2"
"552",8,0.25,0.43,1.7,0.067,50,0.9946,3.38,0.6,11.9,"2"
"553",10.4,0.52,0.45,2,0.08,13,0.99774,3.22,0.76,11.4,"2"
"554",8.2,0.51,0.24,2,0.079,86,0.99764,3.34,0.64,9.5,"2"
"555",7.3,0.4,0.3,1.7,0.08,79,0.9969,3.41,0.65,9.5,"2"
"556",8.2,0.38,0.32,2.5,0.08,71,0.99624,3.27,0.85,11,"2"
"557",6.9,0.45,0.11,2.4,0.043,12,0.99354,3.3,0.65,11.4,"2"
"558",7,0.22,0.3,1.8,0.065,20,0.99672,3.61,0.82,10,"2"
"559",7.3,0.32,0.23,2.3,0.066,70,0.99588,3.43,0.62,10.1,"1"
"560",8.2,0.2,0.43,2.5,0.076,51,0.99672,3.53,0.81,10.4,"2"
"561",7.8,0.39,0.42,2,0.086,21,0.99526,3.39,0.66,11.6,"2"
"562",10,0.35,0.47,2,0.061,11,0.99585,3.23,0.52,12,"2"
"563",6.1,0.58,0.23,2.5,0.044,70,0.99352,3.46,0.65,12.5,"2"
"564",9.6,0.42,0.35,2.1,0.083,38,0.99622,3.23,0.66,11.1,"2"
"565",8.5,0.18,0.51,1.75,0.071,88,0.99524,3.33,0.76,11.8,"2"
"566",5.1,0.51,0.18,2.1,0.042,101,0.9924,3.46,0.87,12.9,"2"
"567",8.5,0.32,0.42,2.3,0.075,19,0.99434,3.14,0.71,11.8,"2"
"568",9,0.785,0.24,1.7,0.078,21,0.99692,3.29,0.67,10,"1"
"569",8.2,0.33,0.39,2.5,0.074,48,0.99528,3.32,0.88,12.4,"2"
"570",6.5,0.34,0.27,2.8,0.067,44,0.99384,3.21,0.56,12,"2"
"571",7.6,0.5,0.29,2.3,0.086,14,0.99502,3.32,0.62,11.5,"2"
"572",9.2,0.36,0.34,1.6,0.062,12,0.99667,3.2,0.67,10.5,"2"
"573",9.7,0.42,0.46,2.1,0.074,16,0.99649,3.27,0.74,12.3,"2"
"574",7.6,0.36,0.31,1.7,0.079,65,0.99716,3.46,0.62,9.5,"2"
"575",7.6,0.36,0.31,1.7,0.079,65,0.99716,3.46,0.62,9.5,"2"
"576",6.5,0.61,0,2.2,0.095,59,0.99541,3.61,0.7,11.5,"2"
"577",8.2,0.35,0.33,2.4,0.076,47,0.99599,3.27,0.81,11,"2"
"578",9.8,0.39,0.43,1.65,0.068,11,0.99478,3.19,0.46,11.4,"1"
"579",6.8,0.66,0.07,1.6,0.07,61,0.99572,3.29,0.6,9.3,"1"
"580",8.8,0.955,0.05,1.8,0.075,19,0.99616,3.3,0.44,9.6,"0"
"581",7.2,0.25,0.37,2.5,0.063,41,0.99439,3.52,0.8,12.4,"2"
"582",7,0.745,0.12,1.8,0.114,64,0.99588,3.22,0.59,9.5,"2"
"583",6.2,0.43,0.22,1.8,0.078,56,0.99633,3.52,0.6,9.5,"2"
"584",7.7,0.57,0.21,1.5,0.069,9,0.99458,3.16,0.54,9.8,"2"
"585",7.7,0.26,0.26,2,0.052,77,0.9951,3.15,0.79,10.9,"2"
"586",7.9,0.58,0.23,2.3,0.076,94,0.99686,3.21,0.58,9.5,"2"
"587",7.7,0.57,0.21,1.5,0.069,9,0.99458,3.16,0.54,9.8,"2"
"588",7.9,0.34,0.36,1.9,0.065,10,0.99419,3.27,0.54,11.2,"2"
"589",7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,"2"
"590",7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,"2"
"591",7.2,0.36,0.46,2.1,0.074,44,0.99534,3.4,0.85,11,"2"
"592",6.2,0.39,0.43,2,0.071,24,0.99428,3.45,0.87,11.2,"2"
"593",6.8,0.65,0.02,2.1,0.078,15,0.99498,3.35,0.62,10.4,"2"
"594",6.8,0.65,0.02,2.1,0.078,15,0.99498,3.35,0.62,10.4,"2"
"595",10.2,0.33,0.46,1.9,0.081,9,0.99628,3.1,0.48,10.4,"2"
"596",7.9,0.57,0.31,2,0.079,79,0.99677,3.29,0.69,9.5,"2"
"597",9,0.39,0.4,1.3,0.044,50,0.99478,3.2,0.83,10.9,"2"
"598",9.2,0.46,0.23,2.6,0.091,77,0.99922,3.15,0.51,9.4,"1"
"599",9,0.58,0.25,2,0.104,21,0.99769,3.27,0.72,9.6,"1"
"600",7.6,0.43,0.29,2.1,0.075,66,0.99718,3.4,0.64,9.5,"1"
"601",7.7,0.18,0.34,2.7,0.066,58,0.9947,3.37,0.78,11.8,"2"
"602",7.8,0.815,0.01,2.6,0.074,90,0.99621,3.38,0.62,10.8,"1"
"603",7.6,0.43,0.29,2.1,0.075,66,0.99718,3.4,0.64,9.5,"1"
"604",7.1,0.75,0.01,2.2,0.059,18,0.99242,3.39,0.4,12.8,"2"
"605",7.8,0.55,0,1.7,0.07,17,0.99659,3.26,0.64,9.4,"2"
"606",7.1,0.75,0.01,2.2,0.059,18,0.99242,3.39,0.4,12.8,"2"
"607",8.1,0.73,0,2.5,0.081,24,0.99798,3.38,0.46,9.6,"0"
"608",7.5,0.61,0.2,1.7,0.076,60,0.99494,3.1,0.4,9.3,"1"
"609",8.3,0.56,0.22,2.4,0.082,86,0.9983,3.37,0.62,9.5,"1"
"610",7.4,0.55,0.19,1.8,0.082,34,0.99655,3.49,0.68,10.5,"1"
"611",7.4,0.74,0.07,1.7,0.086,48,0.99502,3.12,0.48,10,"1"
"612",7.1,0.6,0.01,2.3,0.079,37,0.99514,3.4,0.61,10.9,"2"
"613",7.5,0.58,0.14,2.2,0.077,60,0.9963,3.28,0.59,9.8,"1"
"614",7.9,0.66,0,1.4,0.096,13,0.99569,3.43,0.58,9.5,"1"
"615",7.8,0.7,0.06,1.9,0.079,35,0.99628,3.4,0.69,10.9,"1"
"616",7.5,0.59,0.22,1.8,0.082,60,0.99499,3.1,0.42,9.2,"1"
